t;segment;xs;x;y;b;H;W;Q;U;A
0.000000000000E+00;1;0.75245E+05;0.14279400E+01;0.43602940E+02;0.12552E+03;0.12666E+03;0.19212E+03;0.68700E+02;0.86565E+00;0.79362E+02
0.000000000000E+00;1;0.74991E+05;0.14249900E+01;0.43603700E+02;0.12356E+03;0.12601E+03;0.14174E+03;0.68700E+02;0.48773E+00;0.14086E+03
0.000000000000E+00;1;0.74742E+05;0.14220800E+01;0.43604470E+02;0.12452E+03;0.12577E+03;0.13411E+03;0.68700E+02;0.64966E+00;0.10575E+03
0.000000000000E+00;1;0.74503E+05;0.14193000E+01;0.43605200E+02;0.12380E+03;0.12550E+03;0.13830E+03;0.68700E+02;0.47602E+00;0.14432E+03
0.000000000000E+00;1;0.74212E+05;0.14160900E+01;0.43606360E+02;0.12351E+03;0.12527E+03;0.13358E+03;0.68700E+02;0.53284E+00;0.12893E+03
0.000000000000E+00;1;0.73988E+05;0.14139500E+01;0.43607640E+02;0.12241E+03;0.12517E+03;0.12540E+03;0.68700E+02;0.39124E+00;0.17560E+03
0.000000000000E+00;1;0.73761E+05;0.14118000E+01;0.43608940E+02;0.12344E+03;0.12507E+03;0.13825E+03;0.68700E+02;0.52539E+00;0.13076E+03
0.000000000000E+00;1;0.73521E+05;0.14095900E+01;0.43610400E+02;0.12346E+03;0.12482E+03;0.15849E+03;0.68700E+02;0.52784E+00;0.13015E+03
0.000000000000E+00;1;0.73283E+05;0.14075300E+01;0.43611930E+02;0.12283E+03;0.12462E+03;0.15954E+03;0.68700E+02;0.47853E+00;0.14356E+03
0.000000000000E+00;1;0.73019E+05;0.14054500E+01;0.43613750E+02;0.12237E+03;0.12438E+03;0.15128E+03;0.68700E+02;0.51247E+00;0.13406E+03
0.000000000000E+00;1;0.72745E+05;0.14035700E+01;0.43615800E+02;0.12309E+03;0.12398E+03;0.14332E+03;0.68700E+02;0.80769E+00;0.85057E+02
0.000000000000E+00;1;0.72507E+05;0.14026100E+01;0.43617820E+02;0.12010E+03;0.12388E+03;0.10887E+03;0.68700E+02;0.37691E+00;0.18227E+03
0.000000000000E+00;1;0.72256E+05;0.14017100E+01;0.43619980E+02;0.12082E+03;0.12384E+03;0.12976E+03;0.68700E+02;0.30818E+00;0.22292E+03
0.000000000000E+00;1;0.72046E+05;0.14010800E+01;0.43621810E+02;0.12067E+03;0.12382E+03;0.10986E+03;0.68700E+02;0.30026E+00;0.22880E+03
0.000000000000E+00;1;0.71909E+05;0.14009100E+01;0.43623030E+02;0.12168E+03;0.12380E+03;0.16130E+03;0.69970E+02;0.29650E+00;0.23598E+03
0.000000000000E+00;1;0.71811E+05;0.14008800E+01;0.43623910E+02;0.12208E+03;0.12377E+03;0.15111E+03;0.69970E+02;0.40883E+00;0.17115E+03
0.000000000000E+00;1;0.71718E+05;0.14009600E+01;0.43624740E+02;0.12190E+03;0.12374E+03;0.13563E+03;0.69970E+02;0.37533E+00;0.18642E+03
0.000000000000E+00;1;0.71410E+05;0.14012900E+01;0.43627500E+02;0.12172E+03;0.12365E+03;0.15789E+03;0.69970E+02;0.34264E+00;0.20421E+03
0.000000000000E+00;1;0.71131E+05;0.14021100E+01;0.43629940E+02;0.12210E+03;0.12356E+03;0.16092E+03;0.69970E+02;0.41678E+00;0.16788E+03
0.000000000000E+00;1;0.70632E+05;0.14034300E+01;0.43634320E+02;0.12205E+03;0.12307E+03;0.15303E+03;0.69970E+02;0.71739E+00;0.97534E+02
0.000000000000E+00;1;0.70143E+05;0.14033700E+01;0.43638670E+02;0.12015E+03;0.12232E+03;0.14769E+03;0.69970E+02;0.44679E+00;0.15661E+03
0.000000000000E+00;1;0.69527E+05;0.14018900E+01;0.43644100E+02;0.12016E+03;0.12166E+03;0.14339E+03;0.69970E+02;0.76500E+00;0.91464E+02
0.000000000000E+00;1;0.69070E+05;0.14011100E+01;0.43648160E+02;0.11846E+03;0.12079E+03;0.11293E+03;0.69970E+02;0.43623E+00;0.16040E+03
0.000000000000E+00;1;0.68601E+05;0.14040300E+01;0.43651700E+02;0.11934E+03;0.12033E+03;0.12881E+03;0.69970E+02;0.94045E+00;0.74401E+02
0.000000000000E+00;1;0.68013E+05;0.14066500E+01;0.43656470E+02;0.11567E+03;0.11894E+03;0.86078E+02;0.69970E+02;0.55922E+00;0.12512E+03
0.000000000000E+00;1;0.67468E+05;0.14058200E+01;0.43661310E+02;0.11662E+03;0.11873E+03;0.10714E+03;0.69970E+02;0.46024E+00;0.15203E+03
0.000000000000E+00;1;0.67135E+05;0.14037500E+01;0.43663880E+02;0.11494E+03;0.11863E+03;0.93232E+02;0.69970E+02;0.40964E+00;0.17081E+03
0.000000000000E+00;1;0.66860E+05;0.14014000E+01;0.43665650E+02;0.11472E+03;0.11855E+03;0.10999E+03;0.69970E+02;0.43209E+00;0.16194E+03
0.000000000000E+00;1;0.66574E+05;0.13981900E+01;0.43666670E+02;0.11496E+03;0.11844E+03;0.12152E+03;0.69970E+02;0.44396E+00;0.15760E+03
