t;segment;xs;x;y;b;H;W;Q;U;A
29548800.0;1;75245.0;1.42794;43.602940000000004;125.52;126.58;172.01;95.9;1.4573;65.809
29548800.0;1;74991.0;1.42499;43.6037;123.56;125.82;122.53;95.897;0.83293;115.13
29548800.0;1;74742.0;1.42208;43.60447;124.52;125.56;128.68;95.89399999999999;1.2254;78.256
29548800.0;1;74503.0;1.4193;43.6052;123.8;125.27;128.17;95.891;0.8347100000000001;114.88
29548800.0;1;74212.0;1.41609;43.606359999999995;123.51;125.03;128.89;95.887;0.98172;97.67200000000001
29548800.0;1;73988.0;1.41395;43.60764;122.41;124.97;122.81;95.884;0.63427;151.17
29548800.0;1;73761.0;1.4118;43.608940000000004;123.44;124.88;134.77;95.881;0.9154;104.74
29548800.0;1;73521.0;1.40959;43.6104;123.46;124.61;153.09;95.87799999999999;0.9903;96.81700000000001
29548800.0;1;73283.0;1.40753;43.61193;122.83;124.41;118.51;95.875;0.8382799999999999;114.37
29548800.0;1;73019.0;1.40545;43.61375;122.37;124.18;149.59;95.87100000000001;0.9192600000000001;104.29
29548800.0;1;72745.0;1.40357;43.6158;123.09;123.75;134.31;95.868;1.7519;54.724
29548800.0;1;72507.0;1.4026100000000001;43.61782;120.1;123.65;105.14;95.865;0.61082;156.94
29548800.0;1;72256.0;1.40171;43.61998;120.82;123.62;128.35;95.861;0.49268999999999996;194.57
29548800.0;1;72046.0;1.4010799999999999;43.621809999999996;120.67;123.61;106.0;95.859;0.46528;206.02
29548800.0;1;71909.0;1.40091;43.62303;121.68;123.6;158.67;97.757;0.48122;203.14
29548800.0;1;71811.0;1.40088;43.623909999999995;122.08;123.56;149.07;97.755;0.6991;139.83
29548800.0;1;71718.0;1.40096;43.62474;121.9;123.54;134.82;97.75399999999999;0.6129100000000001;159.49
29548800.0;1;71410.0;1.40129;43.6275;121.72;123.48;157.34;97.75;0.55565;175.92
29548800.0;1;71131.0;1.40211;43.629940000000005;122.1;123.39;159.13;97.74600000000001;0.6918;141.29
29548800.0;1;70632.0;1.40343;43.63432;122.05;122.92;150.67;97.74;1.3025;75.039
29548800.0;1;70143.0;1.40337;43.63867;120.15;122.1;145.11;97.735;0.79051;123.64
